image,article,kind,space,config,algo,n,unique,collapse,n_clusters,noise_frac,top_color,top_frac,recall,hits,n_roles,t_dedup_ms,t_core_ms,t_extract_ms,wall_s,ok,error
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,optics-thr,optics-threshold,47872,19457,2.46,1,0.0464,red,0.954,0.25,1,4,2.7,423.5,2.7,0.96,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,optics-xi05,optics-xi,47872,19457,2.46,92,0.5024,black,0.152,1.0,4,4,2.7,429.9,3.0,0.92,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,optics-xi01,optics-xi,47872,19457,2.46,129,0.3767,black,0.157,1.0,4,4,2.8,432.8,3.3,0.99,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,hdbscan-sm,hdbscan,47872,19457,2.46,5,0.4633,red,0.307,0.75,3,4,2.7,1293.1,0,1.74,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,hdbscan-lg,hdbscan,47872,19457,2.46,3,0.2453,red,0.495,0.75,3,4,2.6,1402.4,0,1.87,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,shdbscan,shdbscan,47872,19457,2.46,4,0.691,orange,0.095,1.0,4,4,2.7,24213.1,0,24.69,1,
Spiegel_ChatGPT_02,spiegel_chatgpt,original,lab,soptics,soptics,47872,19457,2.46,1,0.0883,red,0.912,0.25,1,4,2.6,2175.7,4.6,2.74,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,optics-thr,optics-threshold,50176,22670,2.21,2,0.0646,red,0.851,0.5,2,4,3.0,343.2,3.2,0.88,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,optics-xi05,optics-xi,50176,22670,2.21,53,0.1807,red,0.494,0.75,3,4,3.1,338.1,4.1,0.87,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,optics-xi01,optics-xi,50176,22670,2.21,134,0.0183,red,0.877,0.5,2,4,3.3,338.0,14.6,0.88,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,hdbscan-sm,hdbscan,50176,22670,2.21,5,0.3584,red,0.323,0.75,3,4,2.7,1562.7,0,2.0,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,hdbscan-lg,hdbscan,50176,22670,2.21,4,0.2342,red,0.539,0.75,3,4,3.2,1876.8,0,2.33,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,shdbscan,shdbscan,50176,22670,2.21,7,0.6115,red,0.121,1.0,4,4,2.9,32397.7,0,32.89,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,rgb,soptics,soptics,50176,22670,2.21,1,0.0798,red,0.92,0.25,1,4,3.0,3161.1,3.4,3.71,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,optics-thr,optics-threshold,50176,22670,2.21,2,0.0536,red,0.849,0.5,2,4,2.9,386.7,2.8,0.95,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,optics-xi05,optics-xi,50176,22670,2.21,83,0.6003,black,0.114,1.0,4,4,2.8,443.1,3.1,1.0,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,optics-xi01,optics-xi,50176,22670,2.21,128,0.4801,black,0.12,1.0,4,4,2.8,441.3,3.4,1.03,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,hdbscan-sm,hdbscan,50176,22670,2.21,5,0.404,red,0.333,0.75,3,4,2.8,1723.0,0,2.18,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,hdbscan-lg,hdbscan,50176,22670,2.21,5,0.4384,red,0.306,0.75,3,4,3.2,1719.8,0,2.17,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,shdbscan,shdbscan,50176,22670,2.21,4,0.5005,red,0.382,0.75,3,4,3.2,31979.7,0,32.44,1,
Spiegel_ChatGPT_03,spiegel_chatgpt,original,lab,soptics,soptics,50176,22670,2.21,1,0.0685,red,0.931,0.25,1,4,3.3,3178.4,3.6,3.77,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-thr,optics-threshold,50432,17889,2.82,5,0.0597,black,0.342,0.667,4,6,2.5,241.6,3.0,0.75,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-xi05,optics-xi,50432,17889,2.82,88,0.1349,blue,0.323,0.833,5,6,2.7,242.1,4.1,0.78,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,optics-xi01,optics-xi,50432,17889,2.82,157,0.0233,gray,0.915,0.167,1,6,2.5,240.4,9.0,0.76,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,hdbscan-sm,hdbscan,50432,17889,2.82,7,0.2343,blue,0.332,1.0,6,6,2.5,987.7,0,1.44,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,hdbscan-lg,hdbscan,50432,17889,2.82,7,0.325,blue,0.19,0.833,5,6,2.2,964.7,0,1.38,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,shdbscan,shdbscan,50432,17889,2.82,7,0.3224,blue,0.282,1.0,6,6,2.5,20251.4,0,20.7,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,rgb,soptics,soptics,50432,17889,2.82,2,0.0465,gray,0.893,0.167,1,6,2.5,1971.7,3.0,2.45,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-thr,optics-threshold,50432,17889,2.82,3,0.0554,blue,0.546,0.5,3,6,2.8,300.7,2.9,0.85,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-xi05,optics-xi,50432,17889,2.82,83,0.4958,black,0.104,0.833,5,6,2.7,296.6,3.0,0.82,1,
Spiegel_Hoffnung_01,spiegel_hoffnung,original,lab,optics-xi01,optics-xi,50432,17889,2.82,153,0.3466,white,0.161,0.833,5,6,2.5,297.5,3.5,0.88,1,
